coordinates/latitude,coordinates/longitude
39.90313,32.86493
39.8981983535398,32.8767682984471
39.8343961420175,32.6643645018339
39.89411,32.86775
39.90629,32.86029
39.89391,32.868
39.929446,32.8812659
39.83098,32.71216
39.9206266576208,32.8513218896934
39.92272,32.86751
39.92883,32.84519
39.8994187007146,32.8854226773759
39.8936,32.81687
39.89457,32.86663
40.6944,31.67671
39.8802984666187,32.8235492482781
39.8749057973182,32.8638230152388
39.89481,32.86673
40.246677,32.882572
39.88259,32.85492
39.90365,32.69887
39.84544,32.83194
39.9327200509338,32.8398718662704
39.9095976982084,32.8585728162955
39.912164,32.8613735
39.9014107388964,32.8836915028852
39.86619,32.84833
39.91335,32.86815
39.86496,32.85084
39.9027838655282,32.6995294190491
39.9158775788733,32.856837807806
39.91274,32.86683
39.8980669290541,32.8736396960577
39.8982435891805,32.8768325441803
39.89417,32.86683
39.8701675987009,32.6903111860156
39.86936,32.69003
39.8980872,32.8767789
39.8926066,32.8358012
39.9054,32.8803
39.89442,32.86846
39.88886,32.84567
39.8707349499552,32.7049168199301
39.8943,32.86662
39.89579,32.8673
39.92069,32.85905
39.92253,32.86617
39.8887683068513,32.8345954300528
39.92225,32.85731
39.8980872,32.8767789
39.89458,32.86763
39.91322,32.86704
39.9023419832569,32.6955309613769
39.8964,32.867
39.9022356,32.6953593
39.91695,32.8612
39.97185,32.65917
39.9087905124985,32.8595599923688
39.88788,32.84481
39.89177,32.87654
39.9135046,32.8583105
39.9327529583566,32.8398021288361
39.8930496,32.8479799
39.86493,32.84848
39.893179,32.860973
39.8466,32.85533
39.91889,32.86462
39.9084499,32.8605445
39.86524,32.84924
39.9212022087837,32.8494069049523
39.8712553048469,32.689543068409
39.9035603564361,32.8790456013994
39.89988,32.87751
39.9085818870523,32.8827059255493
39.9236,32.86784
39.9230833768787,32.8667519241571
40.6913889,31.762458
39.8996333276521,32.8773891264587
39.86357,32.84948
40.71602,31.76824
40.58611,31.01503
40.6522575,31.3791514
39.8767,32.84253
40.65424,31.38092
40.4590648984853,31.2153839067459
40.6781660678107,31.4416265487671
39.86554,32.84907
40.67461,31.504
39.9126,32.86088
